# DavinciArm telemetry export
# Points=2055
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,motor_speed_deg_s,valid
0.481351,179.775809,180.666748,0.890939,,1
0.481351,,,,-46.037696,1
0.481357,,180.666748,,,1
0.481361,179.320270,183.278766,3.958496,,1
0.481361,,,,-143.239450,1
0.481367,,183.278766,,,1
0.481370,179.081897,176.847514,-2.234383,,1
0.481370,,,,-171.884405,1
0.481376,,176.847514,,,1
0.511888,179.942137,180.316288,0.374151,,1
0.511888,,,,-12.673241,1
0.511918,,180.316288,,,1
0.511921,,,,3.302375,1
0.511921,180.016390,179.975968,-0.040422,,1
0.511923,,179.975968,,,1
0.511926,,,,46.037396,1
0.511926,180.236180,180.666748,0.430568,,1
0.511928,,180.666748,,,1
0.511931,180.752628,183.278766,2.526138,,1
0.511931,,,,143.237615,1
0.511936,,183.278766,,,1
0.511937,180.800800,176.847514,-3.953286,,1
0.511937,,,,171.887341,1
0.511941,,176.847514,,,1
0.542238,180.068864,180.316288,0.247424,,1
0.542238,,,,12.672966,1
0.542251,,180.316288,,,1
0.542252,179.983367,179.975968,-0.007399,,1
0.542252,,,,-3.302367,1
0.542254,,179.975968,,,1
0.542256,179.775800,180.666748,0.890949,,1
0.542256,,,,-46.037703,1
0.542258,,180.666748,,,1
0.542261,,,,-143.239450,1
0.542261,179.320215,183.278766,3.958551,,1
0.542263,,183.278766,,,1
0.542264,179.081985,176.847514,-2.234471,,1
0.542264,,,,-171.884410,1
0.542266,,176.847514,,,1
0.572677,179.942129,180.316288,0.374159,,1
0.572677,,,,-12.673242,1
0.572689,,180.316288,,,1
0.572691,180.016391,179.975968,-0.040423,,1
0.572691,,,,3.302378,1
0.572693,,179.975968,,,1
0.572694,180.236171,180.666748,0.430578,,1
0.572694,,,,46.037403,1
0.572696,,180.666748,,,1
0.572699,180.752573,183.278766,2.526193,,1
0.572699,,,,143.237617,1
0.572702,,183.278766,,,1
0.572703,180.800888,176.847514,-3.953374,,1
0.572703,,,,171.887341,1
0.572705,,176.847514,,,1
0.603105,180.068856,180.316288,0.247432,,1
0.603105,,,,12.672967,1
0.603117,,180.316288,,,1
0.603119,179.983367,179.975968,-0.007399,,1
0.603119,,,,-3.302370,1
0.603122,,179.975968,,,1
0.603123,179.775791,180.666748,0.890958,,1
0.603123,,,,-46.037709,1
0.603125,,180.666748,,,1
0.603127,,,,-143.239450,1
0.603127,179.320160,183.278766,3.958606,,1
0.603130,,183.278766,,,1
0.603131,179.082073,176.847514,-2.234559,,1
0.603131,,,,-171.884414,1
0.603133,,176.847514,,,1
0.633548,179.942120,180.316288,0.374168,,1
0.633548,,,,-12.673243,1
0.633564,,180.316288,,,1
0.633567,180.016391,179.975968,-0.040423,,1
0.633567,,,,3.302381,1
0.633570,,179.975968,,,1
0.633571,180.236162,180.666748,0.430587,,1
0.633571,,,,46.037410,1
0.633573,,180.666748,,,1
0.633576,180.752518,183.278766,2.526248,,1
0.633576,,,,143.237620,1
0.633579,,183.278766,,,1
0.633581,,,,171.887341,1
0.633581,180.800976,176.847514,-3.953462,,1
0.633583,,176.847514,,,1
0.663908,180.068847,180.316288,0.247441,,1
0.663908,,,,12.672968,1
0.663928,,180.316288,,,1
0.663931,179.983367,179.975968,-0.007399,,1
0.663931,,,,-3.302373,1
0.663934,,179.975968,,,1
0.663936,179.775782,180.666748,0.890967,,1
0.663936,,,,-46.037716,1
0.663938,,180.666748,,,1
0.663939,179.320105,183.278766,3.958661,,1
0.663939,,,,-143.239450,1
0.663943,,183.278766,,,1
0.663944,179.082161,176.847514,-2.234647,,1
0.663944,,,,-171.884419,1
0.663946,,176.847514,,,1
0.694234,179.942112,180.316288,0.374176,,1
0.694234,,,,-12.673244,1
0.694248,,180.316288,,,1
0.694252,180.016391,179.975968,-0.040423,,1
0.694252,,,,3.302385,1
0.694256,,179.975968,,,1
0.694259,180.236153,180.666748,0.430596,,1
0.694259,,,,46.037417,1
0.694262,,180.666748,,,1
0.694265,180.752463,183.278766,2.526303,,1
0.694265,,,,143.237623,1
0.694270,,183.278766,,,1
0.694272,,,,171.887341,1
0.694272,180.801064,176.847514,-3.953549,,1
0.694276,,176.847514,,,1
0.722571,180.068839,180.316288,0.247449,,1
0.722571,,,,12.672970,1
0.722583,,180.316288,,,1
0.722585,179.983368,179.975968,-0.007400,,1
0.722585,,,,-3.302376,1
0.722589,,179.975968,,,1
0.722590,179.775773,180.666748,0.890976,,1
0.722590,,,,-46.037723,1
0.722592,,180.666748,,,1
0.722593,179.320051,183.278766,3.958715,,1
0.722593,,,,-143.239450,1
0.722596,,183.278766,,,1
0.722598,179.082249,176.847514,-2.234734,,1
0.722598,,,,-171.884423,1
0.722600,,176.847514,,,1
0.753063,179.942104,180.316288,0.374184,,1
0.753063,,,,-12.673245,1
0.753076,,180.316288,,,1
0.753080,180.016391,179.975968,-0.040423,,1
0.753080,,,,3.302388,1
0.753082,,179.975968,,,1
0.753084,180.236144,180.666748,0.430605,,1
0.753084,,,,46.037424,1
0.753086,,180.666748,,,1
0.753087,180.752409,183.278766,2.526357,,1
0.753087,,,,143.237626,1
0.753091,,183.278766,,,1
0.753093,,,,171.887341,1
0.753093,180.801151,176.847514,-3.953637,,1
0.753095,,176.847514,,,1
0.783401,180.068831,180.316288,0.247457,,1
0.783401,,,,12.672971,1
0.783411,,180.316288,,,1
0.783413,179.983368,179.975968,-0.007400,,1
0.783413,,,,-3.302380,1
0.783416,,179.975968,,,1
0.783418,179.775763,180.666748,0.890985,,1
0.783418,,,,-46.037729,1
0.783419,,180.666748,,,1
0.783421,179.319996,183.278766,3.958770,,1
0.783421,,,,-143.239450,1
0.783423,,183.278766,,,1
0.783426,179.082336,176.847514,-2.234822,,1
0.783426,,,,-171.884427,1
0.783428,,176.847514,,,1
0.813790,,,,-12.673245,1
0.813790,179.942096,180.316288,0.374192,,1
0.813808,,180.316288,,,1
0.813811,180.016392,179.975968,-0.040424,,1
0.813811,,,,3.302391,1
0.813815,,179.975968,,,1
0.813817,180.236135,180.666748,0.430614,,1
0.813817,,,,46.037431,1
0.813819,,180.666748,,,1
0.813821,180.752354,183.278766,2.526412,,1
0.813821,,,,143.237628,1
0.813823,,183.278766,,,1
0.813826,180.801239,176.847514,-3.953724,,1
0.813826,,,,171.887341,1
0.813828,,176.847514,,,1
0.844158,180.068823,180.316288,0.247465,,1
0.844158,,,,12.672972,1
0.844170,,180.316288,,,1
0.844172,179.983368,179.975968,-0.007400,,1
0.844172,,,,-3.302383,1
0.844176,,179.975968,,,1
0.844178,179.775754,180.666748,0.890994,,1
0.844178,,,,-46.037736,1
0.844180,,180.666748,,,1
0.844182,179.319941,183.278766,3.958825,,1
0.844182,,,,-143.239450,1
0.844185,,183.278766,,,1
0.844188,179.082423,176.847514,-2.234909,,1
0.844188,,,,-171.884432,1
0.844190,,176.847514,,,1
0.874592,,,,-12.673246,1
0.874592,179.942087,180.316288,0.374201,,1
0.874603,,180.316288,,,1
0.874605,180.016392,179.975968,-0.040424,,1
0.874605,,,,3.302394,1
0.874610,,179.975968,,,1
0.874611,180.236126,180.666748,0.430623,,1
0.874611,,,,46.037438,1
0.874613,,180.666748,,,1
0.874615,180.752299,183.278766,2.526467,,1
0.874615,,,,143.237631,1
0.874617,,183.278766,,,1
0.874619,180.801326,176.847514,-3.953811,,1
0.874619,,,,171.887341,1
0.874622,,176.847514,,,1
0.905109,180.068814,180.316288,0.247474,,1
0.905109,,,,12.672974,1
0.905123,,180.316288,,,1
0.905125,,,,-3.302386,1
0.905125,179.983368,179.975968,-0.007400,,1
0.905131,,179.975968,,,1
0.905132,179.775745,180.666748,0.891003,,1
0.905132,,,,-46.037743,1
0.905134,,180.666748,,,1
0.905135,179.319887,183.278766,3.958879,,1
0.905135,,,,-143.239450,1
0.905139,,183.278766,,,1
0.905140,179.082510,176.847514,-2.234996,,1
0.905140,,,,-171.884436,1
0.905144,,176.847514,,,1
0.935424,179.942079,180.316288,0.374209,,1
0.935424,,,,-12.673247,1
0.935463,,180.316288,,,1
0.935467,180.016392,179.975968,-0.040424,,1
0.935467,,,,3.302398,1
0.935471,,179.975968,,,1
0.935475,180.236117,180.666748,0.430632,,1
0.935475,,,,46.037446,1
0.935477,,180.666748,,,1
0.935478,180.752245,183.278766,2.526521,,1
0.935478,,,,143.237634,1
0.935480,,183.278766,,,1
0.935499,180.801413,176.847514,-3.953899,,1
0.935499,,,,171.887341,1
0.935503,,176.847514,,,1
0.965879,180.068806,180.316288,0.247482,,1
0.965879,,,,12.672975,1
0.965900,,180.316288,,,1
0.965903,,,,-3.302390,1
0.965903,179.983369,179.975968,-0.007401,,1
0.965907,,179.975968,,,1
0.965912,179.775736,180.666748,0.891012,,1
0.965912,,,,-46.037749,1
0.965917,,180.666748,,,1
0.965919,179.319832,183.278766,3.958934,,1
0.965919,,,,-143.239450,1
0.965923,,183.278766,,,1
0.965926,179.082598,176.847514,-2.235083,,1
0.965926,,,,-171.884440,1
0.965930,,176.847514,,,1
0.994075,179.942071,180.316288,0.374217,,1
0.994075,,,,-12.673248,1
0.994090,,180.316288,,,1
0.994094,180.016393,179.975968,-0.040425,,1
0.994094,,,,3.302401,1
0.994098,,179.975968,,,1
0.994102,180.236108,180.666748,0.430641,,1
0.994102,,,,46.037453,1
0.994107,,180.666748,,,1
0.994109,180.752191,183.278766,2.526576,,1
0.994109,,,,143.237637,1
0.994114,,183.278766,,,1
0.994116,180.801500,176.847514,-3.953986,,1
0.994116,,,,171.887341,1
0.994120,,176.847514,,,1
1.024517,180.068798,180.316288,0.247490,,1
1.024517,,,,12.672976,1
1.024528,,180.316288,,,1
1.024529,,,,-3.302393,1
1.024529,179.983369,179.975968,-0.007401,,1
1.024533,,179.975968,,,1
1.024534,,,,-46.037756,1
1.024534,179.775727,180.666748,0.891021,,1
1.024538,,180.666748,,,1
1.024539,179.319778,183.278766,3.958988,,1
1.024539,,,,-143.239450,1
1.024541,,183.278766,,,1
1.024542,,,,-171.884445,1
1.024542,179.082684,176.847514,-2.235170,,1
1.024544,,176.847514,,,1
1.054928,179.942063,180.316288,0.374225,,1
1.054928,,,,-12.673249,1
1.054940,,180.316288,,,1
1.054942,180.016393,179.975968,-0.040425,,1
1.054942,,,,3.302404,1
1.054944,,179.975968,,,1
1.054946,180.236099,180.666748,0.430650,,1
1.054946,,,,46.037460,1
1.054948,,180.666748,,,1
1.054951,180.752136,183.278766,2.526630,,1
1.054951,,,,143.237639,1
1.054953,,183.278766,,,1
1.054954,180.801587,176.847514,-3.954072,,1
1.054954,,,,171.887341,1
1.054956,,176.847514,,,1
1.085491,180.068790,180.316288,0.247498,,1
1.085491,,,,12.672978,1
1.085505,,180.316288,,,1
1.085507,179.983369,179.975968,-0.007401,,1
1.085507,,,,-3.302396,1
1.085509,,179.975968,,,1
1.085511,179.775718,180.666748,0.891030,,1
1.085511,,,,-46.037763,1
1.085514,,180.666748,,,1
1.085515,,,,-143.239450,1
1.085515,179.319724,183.278766,3.959043,,1
1.085519,,183.278766,,,1
1.085520,179.082771,176.847514,-2.235257,,1
1.085520,,,,-171.884449,1
1.085522,,176.847514,,,1
1.116004,179.942055,180.316288,0.374233,,1
1.116004,,,,-12.673250,1
1.116023,,180.316288,,,1
1.116025,180.016393,179.975968,-0.040425,,1
1.116025,,,,3.302407,1
1.116028,,179.975968,,,1
1.116029,180.236090,180.666748,0.430659,,1
1.116029,,,,46.037467,1
1.116031,,180.666748,,,1
1.116032,,,,143.237642,1
1.116032,180.752082,183.278766,2.526684,,1
1.116036,,183.278766,,,1
1.116037,180.801674,176.847514,-3.954159,,1
1.116037,,,,171.887341,1
1.116039,,176.847514,,,1
1.146587,180.068782,180.316288,0.247506,,1
1.146587,,,,12.672979,1
1.146605,,180.316288,,,1
1.146612,179.983369,179.975968,-0.007401,,1
1.146612,,,,-3.302399,1
1.146617,,179.975968,,,1
1.146620,179.775709,180.666748,0.891039,,1
1.146620,,,,-46.037769,1
1.146624,,180.666748,,,1
1.146627,,,,-143.239450,1
1.146627,179.319669,183.278766,3.959097,,1
1.146632,,183.278766,,,1
1.146635,,,,-171.884453,1
1.146635,179.082858,176.847514,-2.235344,,1
1.146639,,176.847514,,,1
1.175031,179.942047,180.316288,0.374241,,1
1.175031,,,,-12.673251,1
1.175046,,180.316288,,,1
1.175047,180.016394,179.975968,-0.040426,,1
1.175047,,,,3.302411,1
1.175050,,179.975968,,,1
1.175051,180.236081,180.666748,0.430667,,1
1.175051,,,,46.037474,1
1.175052,,180.666748,,,1
1.175054,180.752028,183.278766,2.526738,,1
1.175054,,,,143.237645,1
1.175058,,183.278766,,,1
1.175059,180.801760,176.847514,-3.954246,,1
1.175059,,,,171.887341,1
1.175061,,176.847514,,,1
1.205631,180.068774,180.316288,0.247514,,1
1.205631,,,,12.672980,1
1.205645,,180.316288,,,1
1.205647,179.983370,179.975968,-0.007402,,1
1.205647,,,,-3.302403,1
1.205650,,179.975968,,,1
1.205651,179.775700,180.666748,0.891048,,1
1.205651,,,,-46.037776,1
1.205653,,180.666748,,,1
1.205654,179.319615,183.278766,3.959151,,1
1.205654,,,,-143.239450,1
1.205658,,183.278766,,,1
1.205660,,,,-171.884458,1
1.205660,179.082944,176.847514,-2.235430,,1
1.205662,,176.847514,,,1
1.236259,179.942038,180.316288,0.374250,,1
1.236259,,,,-12.673252,1
1.236275,,180.316288,,,1
1.236278,180.016394,179.975968,-0.040426,,1
1.236278,,,,3.302414,1
1.236280,,179.975968,,,1
1.236281,180.236072,180.666748,0.430676,,1
1.236281,,,,46.037481,1
1.236283,,180.666748,,,1
1.236284,180.751974,183.278766,2.526792,,1
1.236284,,,,143.237648,1
1.236288,,183.278766,,,1
1.236290,180.801847,176.847514,-3.954332,,1
1.236290,,,,171.887341,1
1.236292,,176.847514,,,1
1.266971,180.068766,180.316288,0.247523,,1
1.266971,,,,12.672981,1
1.266993,,180.316288,,,1
1.266996,179.983370,179.975968,-0.007402,,1
1.266996,,,,-3.302406,1
1.267000,,179.975968,,,1
1.267002,179.775691,180.666748,0.891057,,1
1.267002,,,,-46.037782,1
1.267003,,180.666748,,,1
1.267004,179.319561,183.278766,3.959205,,1
1.267004,,,,-143.239450,1
1.267009,,183.278766,,,1
1.267011,,,,-171.884462,1
1.267011,179.083031,176.847514,-2.235517,,1
1.267013,,176.847514,,,1
1.297799,,,,-12.673253,1
1.297799,179.942030,180.316288,0.374258,,1
1.297813,,180.316288,,,1
1.297817,180.016394,179.975968,-0.040426,,1
1.297817,,,,3.302417,1
1.297819,,179.975968,,,1
1.297821,180.236063,180.666748,0.430685,,1
1.297821,,,,46.037488,1
1.297823,,180.666748,,,1
1.297824,180.751920,183.278766,2.526846,,1
1.297824,,,,143.237650,1
1.297828,,183.278766,,,1
1.297829,180.801933,176.847514,-3.954419,,1
1.297829,,,,171.887341,1
1.297831,,176.847514,,,1
1.326111,,,,12.672983,1
1.326111,180.068757,180.316288,0.247531,,1
1.326126,,180.316288,,,1
1.326128,179.983370,179.975968,-0.007402,,1
1.326128,,,,-3.302409,1
1.326133,,179.975968,,,1
1.326134,179.775682,180.666748,0.891066,,1
1.326134,,,,-46.037789,1
1.326136,,180.666748,,,1
1.326138,179.319507,183.278766,3.959259,,1
1.326138,,,,-143.239450,1
1.326142,,183.278766,,,1
1.326146,179.083117,176.847514,-2.235603,,1
1.326146,,,,-171.884466,1
1.326150,,176.847514,,,1
1.356571,,,,-12.673254,1
1.356571,179.942022,180.316288,0.374266,,1
1.356593,,180.316288,,,1
1.356597,180.016395,179.975968,-0.040427,,1
1.356597,,,,3.302420,1
1.356602,,179.975968,,,1
1.356605,180.236054,180.666748,0.430694,,1
1.356605,,,,46.037495,1
1.356608,,180.666748,,,1
1.356610,180.751866,183.278766,2.526900,,1
1.356610,,,,143.237653,1
1.356614,,183.278766,,,1
1.356618,180.802019,176.847514,-3.954505,,1
1.356618,,,,171.887341,1
1.356621,,176.847514,,,1
1.387230,180.068749,180.316288,0.247539,,1
1.387230,,,,12.672984,1
1.387245,,180.316288,,,1
1.387248,179.983370,179.975968,-0.007403,,1
1.387248,,,,-3.302412,1
1.387251,,179.975968,,,1
1.387253,179.775673,180.666748,0.891075,,1
1.387253,,,,-46.037796,1
1.387255,,180.666748,,,1
1.387256,179.319453,183.278766,3.959313,,1
1.387256,,,,-143.239450,1
1.387259,,183.278766,,,1
1.387261,179.083203,176.847514,-2.235689,,1
1.387261,,,,-171.884471,1
1.387264,,176.847514,,,1
1.418090,179.942014,180.316288,0.374274,,1
1.418090,,,,-12.673255,1
1.418104,,180.316288,,,1
1.418107,,,,3.302423,1
1.418107,180.016395,179.975968,-0.040427,,1
1.418113,,179.975968,,,1
1.418115,180.236045,180.666748,0.430703,,1
1.418115,,,,46.037502,1
1.418117,,180.666748,,,1
1.418119,180.751812,183.278766,2.526954,,1
1.418119,,,,143.237656,1
1.418123,,183.278766,,,1
1.418126,180.802105,176.847514,-3.954591,,1
1.418126,,,,171.887341,1
1.418130,,176.847514,,,1
1.448546,180.068741,180.316288,0.247547,,1
1.448546,,,,12.672985,1
1.448562,,180.316288,,,1
1.448565,,,,-3.302416,1
1.448565,179.983371,179.975968,-0.007403,,1
1.448569,,179.975968,,,1
1.448573,179.775664,180.666748,0.891084,,1
1.448573,,,,-46.037802,1
1.448575,,180.666748,,,1
1.448577,179.319399,183.278766,3.959367,,1
1.448577,,,,-143.239450,1
1.448581,,183.278766,,,1
1.448583,179.083289,176.847514,-2.235775,,1
1.448583,,,,-171.884475,1
1.448587,,176.847514,,,1
1.476888,179.942006,180.316288,0.374282,,1
1.476888,,,,-12.673255,1
1.476899,,180.316288,,,1
1.476902,,,,3.302427,1
1.476902,180.016395,179.975968,-0.040427,,1
1.476906,,179.975968,,,1
1.476910,180.236037,180.666748,0.430712,,1
1.476910,,,,46.037509,1
1.476912,,180.666748,,,1
1.476915,180.751758,183.278766,2.527008,,1
1.476915,,,,143.237659,1
1.476918,,183.278766,,,1
1.476920,180.802191,176.847514,-3.954677,,1
1.476920,,,,171.887341,1
1.476924,,176.847514,,,1
1.507375,180.068733,180.316288,0.247555,,1
1.507375,,,,12.672987,1
1.507389,,180.316288,,,1
1.507392,179.983371,179.975968,-0.007403,,1
1.507392,,,,-3.302419,1
