# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
0.661751,180.013735,180.013734,-0.000001,1
0.661756,,180.013734,,1
0.661759,180.193421,180.193418,-0.000003,1
0.661763,,180.193418,,1
0.661766,180.528777,180.528775,-0.000002,1
0.661770,,180.528775,,1
0.661773,180.994553,180.994555,0.000002,1
0.661778,,180.994555,,1
0.692126,171.066686,170.939878,-0.126808,1
0.692144,,170.939878,,1
0.692148,179.980241,180.013734,0.033492,1
0.692153,,180.013734,,1
0.692156,179.732055,180.193418,0.461363,1
0.692159,,180.193418,,1
0.692162,179.096382,180.528775,1.432392,1
0.692166,,180.528775,,1
0.692169,179.275679,180.994555,1.718876,1
0.692173,,180.994555,,1
0.722401,170.939878,170.939878,0.000000,1
0.722419,,170.939878,,1
0.722421,180.013735,180.013734,-0.000001,1
0.722423,,180.013734,,1
0.722425,180.193421,180.193418,-0.000003,1
0.722427,,180.193418,,1
0.722429,180.528777,180.528775,-0.000002,1
0.722433,,180.528775,,1
0.722435,180.994553,180.994555,0.000002,1
0.722438,,180.994555,,1
0.752657,171.066686,170.939878,-0.126808,1
0.752676,,170.939878,,1
0.752680,179.980241,180.013734,0.033492,1
0.752684,,180.013734,,1
0.752687,179.732055,180.193418,0.461363,1
0.752690,,180.193418,,1
0.752693,179.096382,180.528775,1.432392,1
0.752698,,180.528775,,1
0.752701,179.275679,180.994555,1.718876,1
0.752705,,180.994555,,1
0.782964,170.939878,170.939878,0.000000,1
0.782974,,170.939878,,1
0.782975,180.013735,180.013734,-0.000001,1
0.782979,,180.013734,,1
0.782980,180.193421,180.193418,-0.000003,1
0.782982,,180.193418,,1
0.782983,180.528777,180.528775,-0.000002,1
0.782985,,180.528775,,1
0.782987,180.994553,180.994555,0.000003,1
0.782989,,180.994555,,1
0.813239,171.066686,170.939878,-0.126808,1
0.813255,,170.939878,,1
0.813257,179.980241,180.013734,0.033492,1
0.813260,,180.013734,,1
0.813262,179.732055,180.193418,0.461363,1
0.813264,,180.193418,,1
0.813265,179.096382,180.528775,1.432392,1
0.813269,,180.528775,,1
0.813272,179.275679,180.994555,1.718876,1
0.813274,,180.994555,,1
0.843646,170.939878,170.939878,0.000000,1
0.843680,,170.939878,,1
0.843686,180.013735,180.013734,-0.000001,1
0.843691,,180.013734,,1
0.843695,180.193421,180.193418,-0.000003,1
0.843699,,180.193418,,1
0.843703,180.528777,180.528775,-0.000002,1
0.843711,,180.528775,,1
0.843713,180.994553,180.994555,0.000003,1
0.843722,,180.994555,,1
0.873930,171.066686,170.939878,-0.126808,1
0.873959,,170.939878,,1
0.873962,179.980241,180.013734,0.033492,1
0.873966,,180.013734,,1
0.873968,179.732055,180.193418,0.461363,1
0.873971,,180.193418,,1
0.873974,179.096382,180.528775,1.432392,1
0.873980,,180.528775,,1
0.873982,179.275679,180.994555,1.718876,1
